REG,URB,HHID,RESP_LNO,Q5_TECHVOC,Q5_TECHVOC_COURSE,Q5_SPECIFY_COURSE,Q6_TESDA_CERT,Q15A_ARTS,Q15B_SCIENCE,Q15C_BUSINESS,Q20_ACTIVITY,Q21_KNOWLEDGE,C5_AGE_RT04,C12_HEA_RT04,C4_SEX_RT04,C14_ATTEND_SCHOOL_RT04
6,1,16771,3,2,,,2,3,2,5,1,1,28,60612,2,4
7,1,18399,5,2,,,2,3,2,5,1,1,29,60001,1,4
8,1,20923,2,2,,,2,3,2,5,1,1,22,60411,2,4
8,1,20923,4,2,,,2,3,2,5,1,1,19,34013,2,4
8,2,21353,1,1,41012,BEAUTY CARE/NAILS,1,3,2,5,1,1,25,24015,1,4
13,1,38562,3,2,,,2,3,2,5,2,1,27,60004,1,4
13,1,38590,3,2,,,2,3,2,5,1,1,26,60002,1,4
13,1,40497,4,2,,,2,3,2,5,2,1,21,60215,1,4
13,1,40911,1,2,,,2,3,2,5,1,1,24,50716,1,4
13,1,42366,1,1,40713,NC2 ELECTRICAL MAINTENACE,1,3,2,5,2,1,27,60002,1,4
14,2,46215,2,1,50715,WELDER,1,3,2,5,1,1,28,50715,1,4
14,2,46215,3,2,,,2,3,2,5,1,1,18,34011,1,1
17,1,53088,2,2,,,2,3,2,5,1,1,27,60413,2,4
17,1,53337,2,2,,,2,3,2,5,1,1,29,60413,2,4
2,2,3661,3,2,,,1,2,2,5,2,1,24,60612,2,4
3,1,5743,3,2,,,2,2,2,5,1,1,26,51013,1,4
3,1,7351,1,2,,,2,2,2,5,2,1,27,24015,2,4
3,1,7351,2,2,,,2,2,2,5,2,1,29,24015,1,4
3,1,7866,3,2,,,2,2,2,5,1,1,21,60413,1,4
3,2,8270,3,2,,,2,2,2,5,1,1,22,60413,2,4
4,1,8356,1,2,,,2,2,2,5,1,1,26,24015,1,4
4,1,10818,3,2,,,1,2,2,5,1,1,21,60412,1,4
4,1,10918,1,2,,,2,2,2,5,1,1,28,60213,1,4
5,2,11986,5,2,,,2,2,2,5,2,1,21,60713,1,4
6,1,13950,1,1,40716,AUTO DIESEL MECHANIC,1,2,2,5,1,1,29,50612,1,4
6,2,14236,1,2,,,1,2,2,5,1,1,29,51013,2,4
6,2,14419,3,2,,,2,2,2,5,1,1,20,10014,1,4
7,2,17605,3,2,,,2,2,2,5,2,1,23,60411,2,4
7,1,18047,2,2,,,2,2,2,5,1,1,30,60111,1,4
7,1,18384,2,2,,,2,2,2,5,1,1,29,60314,2,4
7,1,18558,1,2,,,2,2,2,5,2,1,25,60111,2,4
7,1,18902,2,2,,,2,2,2,5,2,1,29,60612,2,4
7,1,18902,3,2,,,2,2,2,5,1,1,25,50541,2,4
8,1,20989,1,2,,,2,2,2,5,2,1,25,24015,1,4
9,2,24816,2,2,,,2,2,2,5,1,1,23,24011,1,4
10,1,26715,1,2,,,2,2,2,5,1,1,23,60311,2,4
11,1,29114,4,2,,,2,2,2,5,2,1,30,60611,1,4
11,2,31054,2,2,,,2,2,2,5,1,1,24,24015,2,4
12,1,32326,2,2,,,2,2,2,5,1,1,20,34013,2,4
12,1,32485,4,2,,,1,2,2,5,1,1,22,60411,2,4
12,2,33494,1,2,,,2,2,2,5,1,1,30,10015,1,4
13,1,34797,3,2,,,2,2,2,5,2,1,28,24012,1,4
13,1,35301,1,2,,,2,2,2,5,1,1,24,60232,1,4
13,1,35519,1,2,,,2,2,2,5,2,1,28,60413,1,4
13,1,35551,1,2,,,2,2,2,5,1,1,21,60411,1,4
13,1,37839,4,2,,,2,2,2,5,2,1,27,61013,2,4
13,1,38502,1,1,40714,ELECTRO MECHANICS,1,2,2,5,2,1,21,35033,1,4
13,1,38902,2,2,,,2,2,2,5,1,1,23,60005,2,4
13,1,38902,1,2,,,2,2,2,5,1,1,23,60001,1,4
13,1,39499,3,2,,,2,2,2,5,2,1,25,60001,1,4
13,1,39499,4,2,,,2,2,2,5,2,1,20,60412,2,4
13,1,39503,3,2,,,2,2,2,5,2,1,22,61013,1,4
13,1,41362,3,2,,,2,2,2,5,1,1,29,60411,2,4
13,1,42360,2,2,,,2,2,2,5,2,1,27,24015,1,4
16,2,51341,1,2,,,2,2,2,5,2,1,27,24013,1,4
17,1,53471,2,2,,,2,2,2,5,1,1,26,60612,1,4
3,1,4089,1,2,,,1,1,2,5,2,1,27,24015,1,4
3,1,4500,1,2,,,2,1,2,5,1,1,29,24015,1,4
3,2,5225,1,2,,,2,1,2,5,1,1,29,24013,1,4
4,1,10862,2,2,,,2,1,2,5,1,1,21,24015,2,4
4,1,11112,3,1,50612,INFORMATION TECHMOLOGY,2,1,2,5,2,1,20,60002,1,2
5,1,11179,1,2,,,2,1,2,5,1,1,30,24015,1,4
